from,to,intensity_forecast,intensity_actual,intensity_index
2019-03-25T00:00Z,2019-03-25T00:30Z,87,91,low
2019-03-25T00:30Z,2019-03-25T01:00Z,87,94,low
2019-03-25T01:00Z,2019-03-25T01:30Z,99,87,low
2019-03-25T01:30Z,2019-03-25T02:00Z,97,84,low
2019-03-25T02:00Z,2019-03-25T02:30Z,88,86,low
2019-03-25T02:30Z,2019-03-25T03:00Z,87,89,low
2019-03-25T03:00Z,2019-03-25T03:30Z,88,88,low
2019-03-25T03:30Z,2019-03-25T04:00Z,91,89,low
2019-03-25T04:00Z,2019-03-25T04:30Z,91,98,low
2019-03-26T00:00Z,2019-03-26T00:30Z,246,238,moderate
2019-03-26T00:30Z,2019-03-26T01:00Z,239,234,moderate
2019-03-26T01:00Z,2019-03-26T01:30Z,242,224,moderate
2019-03-26T01:30Z,2019-03-26T02:00Z,239,226,moderate
2019-03-26T02:00Z,2019-03-26T02:30Z,224,231,moderate
2019-03-26T02:30Z,2019-03-26T03:00Z,229,226,moderate
2019-03-26T03:00Z,2019-03-26T03:30Z,231,221,moderate
2019-03-26T03:30Z,2019-03-26T04:00Z,225,220,moderate
2019-03-26T04:00Z,2019-03-26T04:30Z,218,220,moderate
2019-03-27T00:00Z,2019-03-27T00:30Z,220,216,moderate
2019-03-27T00:30Z,2019-03-27T01:00Z,209,220,moderate
2019-03-27T01:00Z,2019-03-27T01:30Z,220,221,moderate
2019-03-27T01:30Z,2019-03-27T02:00Z,227,219,moderate
2019-03-27T02:00Z,2019-03-27T02:30Z,223,221,moderate
2019-03-27T02:30Z,2019-03-27T03:00Z,221,221,moderate
2019-03-27T03:00Z,2019-03-27T03:30Z,220,217,moderate
2019-03-27T03:30Z,2019-03-27T04:00Z,220,218,moderate
2019-03-27T04:00Z,2019-03-27T04:30Z,218,220,moderate
2019-03-28T00:00Z,2019-03-28T00:30Z,232,238,moderate
2019-03-28T00:30Z,2019-03-28T01:00Z,227,240,moderate
2019-03-28T01:00Z,2019-03-28T01:30Z,244,241,moderate
2019-03-28T01:30Z,2019-03-28T02:00Z,251,239,moderate
2019-03-28T02:00Z,2019-03-28T02:30Z,244,240,moderate
2019-03-28T02:30Z,2019-03-28T03:00Z,240,239,moderate
2019-03-28T03:00Z,2019-03-28T03:30Z,238,240,moderate
2019-03-28T03:30Z,2019-03-28T04:00Z,239,241,moderate
2019-03-28T04:00Z,2019-03-28T04:30Z,242,242,moderate
2019-03-29T00:00Z,2019-03-29T00:30Z,193,192,moderate
2019-03-29T00:30Z,2019-03-29T01:00Z,185,189,moderate
2019-03-29T01:00Z,2019-03-29T01:30Z,197,183,moderate
2019-03-29T01:30Z,2019-03-29T02:00Z,193,186,moderate
2019-03-29T02:00Z,2019-03-29T02:30Z,185,196,moderate
2019-03-29T02:30Z,2019-03-29T03:00Z,191,190,moderate
2019-03-29T03:00Z,2019-03-29T03:30Z,194,188,moderate
2019-03-29T03:30Z,2019-03-29T04:00Z,188,185,moderate
2019-03-29T04:00Z,2019-03-29T04:30Z,188,186,moderate
2019-03-30T00:00Z,2019-03-30T00:30Z,237,236,moderate
2019-03-30T00:30Z,2019-03-30T01:00Z,227,239,moderate
2019-03-30T01:00Z,2019-03-30T01:30Z,241,243,moderate
2019-03-30T01:30Z,2019-03-30T02:00Z,254,248,moderate
